model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9999204198481275,0.9532152858164574,0.9999301361609916,0.9364831362535526,0.9999204198481275,0.9387124773295163,0.9999189933878352,0.9364831362535526,0.06351686374644741,0.9999839354786311,1.6064521368861496e-05
DNN,BIM,0.01,0.9999246082771734,0.956954023210033,0.9999335595784453,0.9336868631230422,0.9999246082771734,0.9377282620547074,0.9999212123142305,0.9336868631230422,0.06631313687695785,0.9999848262948102,1.5173705189767261e-05
DNN,BIM,0.1,0.07765766294036096,0.39381746474564727,0.5473723573925102,0.4253956499357076,0.07765766294036096,0.23608512535359177,0.054895604231750425,0.4253956499357076,0.5746043500642923,0.7586349024293602,0.24136509757063984
DNN,BIM,0.2,0.005097318148881899,0.04298024339638653,0.05540924464337133,0.06041850481915821,0.005097318148881899,0.013639931249515277,0.008724021299118178,0.06041850481915821,0.9395814951808419,0.6557257712805784,0.3442742287194216
DNN,BIM,0.3,2.5130574275506487e-05,0.00047679416059590913,0.00021410713707822163,6.475642937736285e-05,2.5130574275506487e-05,0.00011393270096953943,4.4659598764907726e-05,6.475642937736285e-05,0.9999352435706227,0.6396001831741157,0.3603998168258843
DNN,FGSM,0.01,0.9999246082771734,0.956954023210033,0.9999335595784453,0.9336868631230422,0.9999246082771734,0.9377282620547074,0.9999212123142305,0.9336868631230422,0.06631313687695785,0.9999848262948102,1.5173705189767261e-05
DNN,FGSM,0.1,0.1763161091169535,0.5082621004412371,0.850068946154943,0.4602393796129009,0.1763161091169535,0.3389366458095336,0.2736572741165786,0.4602393796129009,0.539760620387099,0.7808023923885956,0.21919760761140453
DNN,FGSM,0.2,0.0029779730516475184,0.03450849618541798,0.020403528777493983,0.015857858530794224,0.0029779730516475184,0.011778324892468606,0.004804387460164265,0.015857858530794224,0.9841421414692059,0.6685489438418868,0.3314510561581132
DNN,FGSM,0.3,0.0014324427337038697,0.0028173958566482453,0.006074688870679077,0.011363847841131727,0.0014324427337038697,0.0024226772064485265,0.0012388626800895963,0.011363847841131727,0.9886361521588682,0.6641601273343642,0.33583987266563564
DNN,PGD,0.01,0.9999246082771734,0.956954023210033,0.9999335595784453,0.9336868631230422,0.9999246082771734,0.9377282620547074,0.9999212123142305,0.9336868631230422,0.06631313687695785,0.9999848262948102,1.5173705189767261e-05
DNN,PGD,0.1,0.07765766294036096,0.39381746474564727,0.5473723573925102,0.4253956499357076,0.07765766294036096,0.23608512535359177,0.054895604231750425,0.4253956499357076,0.5746043500642923,0.7586349024293602,0.24136509757063984
DNN,PGD,0.2,0.005097318148881899,0.04298024339638653,0.05540924464337133,0.06041850481915821,0.005097318148881899,0.013639931249515277,0.008724021299118178,0.06041850481915821,0.9395814951808419,0.6557257712805784,0.3442742287194216
DNN,PGD,0.3,2.5130574275506487e-05,0.00047679416059590913,0.00021410713707822163,6.475642937736285e-05,2.5130574275506487e-05,0.00011393270096953943,4.4659598764907726e-05,6.475642937736285e-05,0.9999352435706227,0.6396001831741157,0.3603998168258843
