model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9995811570954082,0.5891311836587058,0.9992086898621354,0.5999233765404508,0.9995811570954082,0.5943776538265866,0.9993897594787825,0.5999233765404508,0.4000766234595492,0.9999153312870603,8.466871293958142e-05
DNN,BIM,0.01,0.9995476496630409,0.5883346576042859,0.9991774469241438,0.5993868573408807,0.9995476496630409,0.5937022266153751,0.9993570764345204,0.5993868573408807,0.4006131426591192,0.9999085302388739,9.146976112606663e-05
DNN,BIM,0.1,0.9937341101473071,0.5057191691150574,0.9961515446697649,0.5818529548897452,0.9937341101473071,0.5292020068944725,0.9943271412143198,0.5818529548897452,0.4181470451102549,0.9987355156408235,0.0012644843591766187
DNN,BIM,0.2,0.9398876663329885,0.40788486249092654,0.988484276268386,0.3696282498788624,0.9398876663329885,0.2758251796429482,0.94204470265983,0.3696282498788624,0.6303717501211377,0.9819369677378109,0.018063032262189225
DNN,BIM,0.3,0.930187264662643,0.21682896281869418,0.8973865345584183,0.3366704328476072,0.930187264662643,0.2353617161297835,0.912014261163876,0.3366704328476072,0.6633295671523929,0.9051565027271261,0.0948434972728739
DNN,FGSM,0.01,0.9995644033792246,0.5884122143058914,0.9991951143407213,0.5998722942340847,0.9995644033792246,0.5939705493821013,0.999373829936835,0.5998722942340847,0.4001277057659153,0.9999121162034086,8.788379659125589e-05
DNN,FGSM,0.1,0.9885278928432313,0.4498389791256554,0.9911424394122029,0.478914767585844,0.9885278928432313,0.4589552062435297,0.9895882742742832,0.478914767585844,0.5210852324141559,0.9976462381127342,0.0023537618872657073
DNN,FGSM,0.2,0.9621072824215822,0.3846654320109055,0.9835250794314431,0.35812965647617384,0.9621072824215822,0.3477048153199626,0.9693333978993168,0.35812965647617384,0.6418703435238262,0.9900674783674737,0.009932521632526337
DNN,FGSM,0.3,0.9560717561664147,0.375651126129574,0.9669240350861033,0.3292605271157272,0.9560717561664147,0.33181033249492276,0.9571067511122312,0.3292605271157272,0.6707394728842729,0.9514253411090732,0.04857465889092687
DNN,PGD,0.01,0.9995476496630409,0.5883346576042859,0.9991774469241438,0.5993868573408807,0.9995476496630409,0.5937022266153751,0.9993570764345204,0.5993868573408807,0.4006131426591192,0.9999085302388739,9.146976112606663e-05
DNN,PGD,0.1,0.9937341101473071,0.5057191691150574,0.9961515446697649,0.5818529548897452,0.9937341101473071,0.5292020068944725,0.9943271412143198,0.5818529548897452,0.4181470451102549,0.9987355156408235,0.0012644843591766187
DNN,PGD,0.2,0.9398876663329885,0.40788486249092654,0.988484276268386,0.3696282498788624,0.9398876663329885,0.2758251796429482,0.94204470265983,0.3696282498788624,0.6303717501211377,0.9819369677378109,0.018063032262189225
DNN,PGD,0.3,0.930187264662643,0.21682896281869418,0.8973865345584183,0.3366704328476072,0.930187264662643,0.2353617161297835,0.912014261163876,0.3366704328476072,0.6633295671523929,0.9051565027271261,0.0948434972728739
