Attack,Epsilon,Def1-11 Combined
baseline,0.0,0.9902716165638283
BIM,0.01,0.9902809702509222
BIM,0.1,0.963148193002122
BIM,0.2,0.947136696397815
BIM,0.3,0.9331705801913488
FGSM,0.01,0.9900352850385958
FGSM,0.1,0.9522582081775168
FGSM,0.2,0.9434594480313614
FGSM,0.3,0.9575221370024245
PGD,0.01,0.9902811126858302
PGD,0.1,0.963148193002122
PGD,0.2,0.947136696397815
PGD,0.3,0.9331705801913488
DF,0.01,0.8322384781854973
DF,0.1,0.7895774701095941
DF,0.2,0.7634449330862185
DF,0.3,0.7435837129282613
AutoPGD,0.01,0.9910609502475596
AutoPGD,0.1,0.9888385559085432
AutoPGD,0.2,0.9821698655736563
AutoPGD,0.3,0.9655495052736236
ZOO,0.01,0.9910205933638012
ZOO,0.1,0.9910002837922997
ZOO,0.2,0.9910304865480251
ZOO,0.3,0.9910002837922997
CaFA,0.01,0.9890658515106797
CaFA,0.1,0.9867976405874306
CaFA,0.2,0.9811282519666081
CaFA,0.3,0.9745189185957432
SINIFGSM,0.01,0.9876385075797226
SINIFGSM,0.1,0.9484053837368066
SINIFGSM,0.2,0.8948169843667483
SINIFGSM,0.3,0.8499313096846288
VNIFGSM,0.01,0.987634976491631
VNIFGSM,0.1,0.947092726053115
VNIFGSM,0.2,0.8929497868776806
VNIFGSM,0.3,0.8886051770175977
