model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.8905686534293812,0.8750118221710138,0.8902286214805633,0.8724683976154565,0.8905686534293812,0.8737193578065121,0.8903824778393997,0.8724683976154565,0.12753160238454356,0.8724683976154565,0.12753160238454356
DNN,BIM,0.01,0.8901036228514271,0.8744636009260881,0.8897654079812467,0.871951801759494,0.8901036228514271,0.8731874156832027,0.8899187174014308,0.871951801759494,0.12804819824050595,0.871951801759494,0.12804819824050595
DNN,BIM,0.1,0.8801449491537321,0.8602324196647797,0.8815313921931542,0.8670418068608114,0.8801449491537321,0.8634692444565418,0.8807059555129557,0.8670418068608114,0.1329581931391886,0.8670418068608114,0.1329581931391886
DNN,BIM,0.2,0.6472962420264804,0.6778778426052317,0.7526225785760104,0.7001047772823791,0.6472962420264804,0.6432329557052074,0.6569869276803065,0.7001047772823791,0.2998952227176209,0.7001047772823791,0.2998952227176209
DNN,BIM,0.3,0.5454282229690008,0.6251755137177353,0.7064507496861524,0.6258752258299769,0.5454282229690008,0.5454229816488514,0.5459805795606685,0.6258752258299769,0.37412477417002304,0.6258752258299769,0.37412477417002304
DNN,FGSM,0.01,0.8902440094409981,0.8746691481099664,0.8898912873588664,0.8720330614165456,0.8902440094409981,0.8733287959954372,0.8900502772854678,0.8720330614165456,0.12796693858345443,0.8720330614165456,0.12796693858345443
DNN,FGSM,0.1,0.8865676356266068,0.869401852686446,0.8866362870373948,0.8698426487623321,0.8865676356266068,0.8696216018915822,0.8866014542828473,0.8698426487623321,0.13015735123766797,0.8698426487623321,0.13015735123766797
DNN,FGSM,0.2,0.8364408489879004,0.8106952908716778,0.8478442192424416,0.8349284457372692,0.8364408489879004,0.8195683498762056,0.839499993997851,0.8349284457372692,0.16507155426273074,0.8349284457372692,0.16507155426273074
DNN,FGSM,0.3,0.7815233699800826,0.7611837248565265,0.8130706775414468,0.7943587533632783,0.7815233699800826,0.7667806836370996,0.7879627160721706,0.7943587533632783,0.20564124663672173,0.7943587533632783,0.20564124663672173
DNN,PGD,0.01,0.8901036228514271,0.8744636009260881,0.8897654079812467,0.871951801759494,0.8901036228514271,0.8731874156832027,0.8899187174014308,0.871951801759494,0.12804819824050595,0.871951801759494,0.12804819824050595
DNN,PGD,0.1,0.8801449491537321,0.8602324196647797,0.8815313921931542,0.8670418068608114,0.8801449491537321,0.8634692444565418,0.8807059555129557,0.8670418068608114,0.1329581931391886,0.8670418068608114,0.1329581931391886
DNN,PGD,0.2,0.6472962420264804,0.6778778426052317,0.7526225785760104,0.7001047772823791,0.6472962420264804,0.6432329557052074,0.6569869276803065,0.7001047772823791,0.2998952227176209,0.7001047772823791,0.2998952227176209
DNN,PGD,0.3,0.5454282229690008,0.6251755137177353,0.7064507496861524,0.6258752258299769,0.5454282229690008,0.5454229816488514,0.5459805795606685,0.6258752258299769,0.37412477417002304,0.6258752258299769,0.37412477417002304
DNN,DF,0.01,0.4397171210220144,0.42033723024314334,0.4885387417618116,0.4093468288038424,0.4397171210220144,0.40786094688929275,0.4574751154241247,0.4093468288038424,0.5906531711961576,0.4093468288038424,0.5906531711961576
DNN,DF,0.1,0.43467197795930546,0.41521377579727614,0.48360903245337683,0.40351899504048827,0.43467197795930546,0.40251095681141585,0.45258664706479174,0.40351899504048827,0.5964810049595117,0.40351899504048827,0.5964810049595117
DNN,DF,0.2,0.4253976888857692,0.4066010810874932,0.4751887917728446,0.39363655784470264,0.4253976888857692,0.3932680862865106,0.44370495930340453,0.39363655784470264,0.6063634421552974,0.39363655784470264,0.6063634421552974
DNN,DF,0.3,0.42182660501355607,0.4031043921402905,0.4717981116131731,0.38964253025338996,0.42182660501355607,0.38957796156315033,0.44026161171953504,0.38964253025338996,0.61035746974661,0.38964253025338996,0.61035746974661
DNN,AutoPGD,0.01,0.890603750076774,0.875064220966537,0.8902597641106732,0.8724868898907361,0.890603750076774,0.8737542549225017,0.8904151710547048,0.8724868898907361,0.12751311010926397,0.8724868898907361,0.12751311010926397
DNN,AutoPGD,0.1,0.8860675084012599,0.8681635865793387,0.8864995077089205,0.8707365095939756,0.8860675084012599,0.8694275241524916,0.8862658663710936,0.8707365095939756,0.12926349040602433,0.8707365095939756,0.12926349040602433
DNN,AutoPGD,0.2,0.6752243991892675,0.6920309477373244,0.763196473837505,0.7192435501485275,0.6752243991892675,0.6689225655561963,0.6854229975396082,0.7192435501485275,0.28075644985147247,0.7192435501485275,0.28075644985147247
DNN,AutoPGD,0.3,0.5892814838862518,0.6461411898343337,0.7251186519168706,0.6567056678029528,0.5892814838862518,0.5882279055867594,0.595752081158034,0.6567056678029528,0.34329433219704714,0.6567056678029528,0.34329433219704714
DNN,HopSkipJump,0,0.5892814838862518,0.6461411898343337,0.7251186519168706,0.6567056678029528,0.5892814838862518,0.5882279055867594,0.595752081158034,0.6567056678029528,0.34329433219704714,0.6567056678029528,0.34329433219704714
DNN,ZOO,0,0.8904545893253547,0.8749326825687408,0.890095867361161,0.8722387922953534,0.8904545893253547,0.8735624710723462,0.8902571131721737,0.8722387922953534,0.1277612077046466,0.8722387922953534,0.1277612077046466
DNN,ZOO,0.01,0.8904984601345957,0.8749894017328257,0.8901378784821145,0.8722783113903023,0.8904984601345957,0.8736102996680061,0.8902998283535863,0.8722783113903023,0.12772168860969765,0.8722783113903023,0.12772168860969765
