model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.8867431188635706,0.8677937812289728,0.8879744165209883,0.8743240248104501,0.8867431188635706,0.8709095978310355,0.8872413501655088,0.8743240248104501,0.12567597518954984,0.8743240248104501,0.12567597518954984
DNN,BIM,0.01,0.8832685507716875,0.8634570258171077,0.8849155587129801,0.871509064506802,0.8832685507716875,0.8672493484549049,0.8839078460574978,0.871509064506802,0.12849093549319796,0.871509064506802,0.12849093549319796
DNN,BIM,0.1,0.818822331996736,0.7933498327748164,0.8354184382329435,0.8212345372073879,0.818822331996736,0.8021879381601439,0.8229097120980058,0.8212345372073879,0.17876546279261213,0.8212345372073879,0.17876546279261213
DNN,BIM,0.2,0.5298804081740092,0.6078066340216899,0.6869125995609275,0.6082856212833588,0.5298804081740092,0.529876997034082,0.5303344564541019,0.6082856212833588,0.39171437871664117,0.6082856212833588,0.39171437871664117
DNN,BIM,0.3,0.44005053917224557,0.5508680645182646,0.6259173026874774,0.5418570314384794,0.44005053917224557,0.4358701480621957,0.41832750384734907,0.5418570314384794,0.4581429685615206,0.5418570314384794,0.4581429685615206
DNN,FGSM,0.01,0.883426485684955,0.863674004168608,0.8850326231182999,0.8715740533557276,0.883426485684955,0.8673995292234582,0.8840526303131353,0.8715740533557276,0.12842594664427243,0.8715740533557276,0.12842594664427243
DNN,FGSM,0.1,0.8322555737863141,0.806271114462332,0.8439735347205758,0.8304030224844704,0.8322555737863141,0.8150377305724439,0.8354235420629178,0.8304030224844704,0.16959697751552955,0.8304030224844704,0.16959697751552955
DNN,FGSM,0.2,0.6433829658421879,0.6658152600769247,0.7378052815858767,0.6882844794722622,0.6433829658421879,0.6377830559278411,0.6540524717124416,0.6882844794722622,0.3117155205277377,0.6882844794722622,0.3117155205277377
DNN,FGSM,0.3,0.5484553088066263,0.6066379359264883,0.6825510064747956,0.6132408420304347,0.5484553088066263,0.5476502742342562,0.5545438013513633,0.6132408420304347,0.3867591579695652,0.6132408420304347,0.3867591579695652
DNN,PGD,0.01,0.8832685507716875,0.8634570258171077,0.8849155587129801,0.871509064506802,0.8832685507716875,0.8672493484549049,0.8839078460574978,0.871509064506802,0.12849093549319796,0.871509064506802,0.12849093549319796
DNN,PGD,0.1,0.818822331996736,0.7933498327748164,0.8354184382329435,0.8212345372073879,0.818822331996736,0.8021879381601439,0.8229097120980058,0.8212345372073879,0.17876546279261213,0.8212345372073879,0.17876546279261213
DNN,PGD,0.2,0.5298804081740092,0.6078066340216899,0.6869125995609275,0.6082856212833588,0.5298804081740092,0.529876997034082,0.5303344564541019,0.6082856212833588,0.39171437871664117,0.6082856212833588,0.39171437871664117
DNN,PGD,0.3,0.44005053917224557,0.5508680645182646,0.6259173026874774,0.5418570314384794,0.44005053917224557,0.4358701480621957,0.41832750384734907,0.5418570314384794,0.4581429685615206,0.5418570314384794,0.4581429685615206
DNN,DF,0.01,0.13668389327109529,0.14592070872321183,0.15329536555760379,0.17614553119078008,0.13668389327109529,0.1348843678249445,0.1206311430955342,0.17614553119078008,0.82385446880922,0.17614553119078008,0.82385446880922
DNN,DF,0.1,0.1328408103815883,0.14125322700863374,0.14798325838947216,0.1715361249693829,0.1328408103815883,0.1310693315310062,0.11689646799480027,0.1715361249693829,0.8284638750306171,0.1715361249693829,0.8284638750306171
DNN,DF,0.2,0.1306648182432373,0.1386225909621862,0.144996828994285,0.1689169116035632,0.1306648182432373,0.12891095679976805,0.1147912404350688,0.1689169116035632,0.8310830883964369,0.1689169116035632,0.8310830883964369
DNN,DF,0.3,0.12938379061340166,0.13743775290983212,0.14392234627457912,0.16696245098960033,0.12938379061340166,0.12771701887562326,0.11394290020519482,0.16696245098960033,0.8330375490103997,0.16696245098960033,0.8330375490103997
DNN,AutoPGD,0.01,0.8863570557422502,0.8673060457261572,0.887634924594378,0.8740185419993112,0.8863570557422502,0.8705040163914071,0.886871483430391,0.8740185419993112,0.12598145800068877,0.8740185419993112,0.12598145800068877
DNN,AutoPGD,0.1,0.8522869852857305,0.8273758923663502,0.8597082465350022,0.8473421929587088,0.8522869852857305,0.835461027073104,0.8544683674004937,0.8473421929587088,0.1526578070412912,0.8473421929587088,0.1526578070412912
DNN,AutoPGD,0.2,0.5599582349896026,0.6268770440853442,0.7061084675829078,0.6323353766227069,0.5599582349896026,0.5596112777521567,0.5640766032985418,0.6323353766227069,0.36766462337729305,0.6323353766227069,0.36766462337729305
DNN,AutoPGD,0.3,0.45977485500697546,0.5686597032409215,0.6464486304588116,0.5587747377057332,0.45977485500697546,0.45694378770970856,0.4427795063030034,0.5587747377057332,0.4412252622942668,0.5587747377057332,0.4412252622942668
DNN,HopSkipJump,0,0.45977485500697546,0.5686597032409215,0.6464486304588116,0.5587747377057332,0.45977485500697546,0.45694378770970856,0.4427795063030034,0.5587747377057332,0.4412252622942668,0.5587747377057332,0.4412252622942668
DNN,ZOO,0,0.8877784699616569,0.8691515564166428,0.8888522437946009,0.8750262938837599,0.8877784699616569,0.8719693130112989,0.8882213742563534,0.8750262938837599,0.12497370611624006,0.8750262938837599,0.12497370611624006
DNN,ZOO,0.01,0.8878135666090496,0.869191288063873,0.8888870732511073,0.8750666578268389,0.8878135666090496,0.8720093538829139,0.8882563323879387,0.8750666578268389,0.12493334217316118,0.8750666578268389,0.12493334217316118
DNN,ZOO,0.1,0.8877521474761123,0.8691174961313933,0.8888294056535904,0.8750069567603505,0.8877521474761123,0.8719419849627297,0.8881962975242459,0.8750069567603505,0.12499304323964958,0.8750069567603505,0.12499304323964958
DNN,ZOO,0.2,0.8877258249905677,0.8690919589457973,0.8887999996098415,0.8749657479691416,0.8877258249905677,0.8719092517038767,0.8881689370589757,0.8749657479691416,0.12503425203085838,0.8749657479691416,0.12503425203085838
DNN,ZOO,0.3,0.8877696957998087,0.8691402024227429,0.8888446307291573,0.8750198481759568,0.8877696957998087,0.8719602035561027,0.8882130153111373,0.8750198481759568,0.12498015182404323,0.8750198481759568,0.12498015182404323
DNN,HopSkipJump,0,0.7173754727079695,0.7017212439586256,0.7598838873878505,0.7298024643782562,0.7173754727079695,0.701700391072521,0.7264021742009391,0.7298024643782562,0.27019753562174376,0.7298024643782562,0.27019753562174376
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,BA,0.01,0.8894280123891165,0.8708559516818437,0.8906143514177317,0.8773389608966532,0.8894280123891165,0.8739521807593378,0.8899069939314831,0.8773389608966532,0.1226610391033468,0.8773389608966532,0.1226610391033468
DNN,BA,0.1,0.8894543348746611,0.8708871179104904,0.8906393436832578,0.8773655885759958,0.8894543348746611,0.873981304046576,0.8899328302941493,0.8773655885759958,0.12263441142400419,0.8773655885759958,0.12263441142400419
DNN,BA,0.2,0.8895683989786876,0.8710316345551341,0.8907402606451096,0.8774566733333702,0.8895683989786876,0.874101624717956,0.8900423102034386,0.8774566733333702,0.12254332666662984,0.8774566733333702,0.12254332666662984
DNN,BA,0.3,0.8894718831983575,0.8709069534055239,0.8906567460336408,0.8773857705475352,0.8894718831983575,0.874001308601851,0.8899503026601634,0.8773857705475352,0.12261422945246475,0.8773857705475352,0.12261422945246475
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,BIM,0.01,0.8511287959217696,0.8297193179176794,0.8743067840973747,0.8677943639651784,0.8511287959217696,0.8396690907015487,0.855153420324841,0.8677943639651784,0.13220563603482155,0.8677943639651784,0.13220563603482155
DNN,BIM,0.1,0.7995718209018083,0.7837885374569036,0.8383168216484094,0.8228110928789663,0.7995718209018083,0.7880764429608171,0.8059063180816937,0.8228110928789663,0.1771889071210338,0.8228110928789663,0.1771889071210338
DNN,BIM,0.2,0.7022926884909318,0.7103581332711861,0.7788387327861067,0.74149069884364,0.7022926884909318,0.6945364676029533,0.7121198259080557,0.74149069884364,0.25850930115635995,0.74149069884364,0.25850930115635995
DNN,BIM,0.3,0.4478156724078932,0.5549068989835175,0.6303281838044179,0.5465335144577226,0.4478156724078932,0.44462097098220843,0.4294047455776656,0.5465335144577226,0.45346648554227736,0.5465335144577226,0.45346648554227736
