model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.8886734344701722,0.868380169134031,0.9104260665299482,0.9107877828975115,0.8886734344701722,0.8800728852540585,0.8916745107504911,0.9107877828975115,0.0892122171024886,0.9107877828975115,0.0892122171024886
DNN,BIM,0.01,0.8805134639513561,0.8605410065477341,0.9043285375006347,0.9033934879014065,0.8805134639513561,0.8716341553843707,0.8838299856766594,0.9033934879014065,0.09660651209859354,0.9033934879014065,0.09660651209859354
DNN,BIM,0.1,0.8239727650016232,0.8039861743952726,0.8530862353687233,0.8420489063475489,0.8239727650016232,0.8118183033487596,0.8290947176663861,0.8420489063475489,0.1579510936524511,0.8420489063475489,0.1579510936524511
DNN,BIM,0.2,0.7311684551333234,0.7189506287800687,0.7783180463169326,0.7504189364766287,0.7311684551333234,0.7177818722514409,0.7399855223936529,0.7504189364766287,0.24958106352337123,0.7504189364766287,0.24958106352337123
DNN,BIM,0.3,0.6509375191934791,0.6605433700038374,0.7287417634705156,0.6841596661675847,0.6509375191934791,0.6423244125851565,0.6623747468705375,0.6841596661675847,0.3158403338324153,0.6841596661675847,0.3158403338324153
DNN,FGSM,0.01,0.8808030112923463,0.8607733345857258,0.9044121036860208,0.903511419031781,0.8808030112923463,0.8719077108271334,0.8841015050421324,0.903511419031781,0.09648858096821898,0.903511419031781,0.09648858096821898
DNN,FGSM,0.1,0.8128383536162708,0.7915875962061905,0.8402020838058137,0.8269870183444844,0.8128383536162708,0.7993164830899802,0.818134389101267,0.8269870183444844,0.1730129816555156,0.8269870183444844,0.1730129816555156
DNN,FGSM,0.2,0.7014503689535058,0.6964818622444384,0.7597147493291406,0.7257877506689724,0.7014503689535058,0.689672834178984,0.7115119047641225,0.7257877506689724,0.2742122493310276,0.7257877506689724,0.2742122493310276
DNN,FGSM,0.3,0.5468496371884076,0.5477652873467744,0.6131001793227263,0.5549324812107618,0.5468496371884076,0.5320068845416349,0.56211433732876,0.5549324812107618,0.4450675187892382,0.5549324812107618,0.4450675187892382
DNN,PGD,0.01,0.8805134639513561,0.8605410065477341,0.9043285375006347,0.9033934879014065,0.8805134639513561,0.8716341553843707,0.8838299856766594,0.9033934879014065,0.09660651209859354,0.9033934879014065,0.09660651209859354
DNN,PGD,0.1,0.8239727650016232,0.8039861743952726,0.8530862353687233,0.8420489063475489,0.8239727650016232,0.8118183033487596,0.8290947176663861,0.8420489063475489,0.1579510936524511,0.8420489063475489,0.1579510936524511
DNN,PGD,0.2,0.7311684551333234,0.7189506287800687,0.7783180463169326,0.7504189364766287,0.7311684551333234,0.7177818722514409,0.7399855223936529,0.7504189364766287,0.24958106352337123,0.7504189364766287,0.24958106352337123
DNN,PGD,0.3,0.6509375191934791,0.6605433700038374,0.7287417634705156,0.6841596661675847,0.6509375191934791,0.6423244125851565,0.6623747468705375,0.6841596661675847,0.3158403338324153,0.6841596661675847,0.3158403338324153
DNN,DF,0.01,0.15692588465486834,0.17211292960257396,0.1843776130639024,0.19835736891732367,0.15692588465486834,0.1553614399777333,0.14222999210773804,0.19835736891732367,0.8016426310826763,0.19835736891732367,0.8016426310826763
DNN,DF,0.1,0.1520562248291232,0.1666094330519279,0.17846878692523496,0.19192210316079095,0.1520562248291232,0.15062647844990104,0.13803792238083448,0.19192210316079095,0.808077896839209,0.19192210316079095,0.808077896839209
DNN,DF,0.2,0.148897526563775,0.16354211680945135,0.17563971959050118,0.1870426632191338,0.148897526563775,0.1476649911022252,0.13595647299251887,0.1870426632191338,0.8129573367808662,0.1870426632191338,0.8129573367808662
DNN,DF,0.3,0.14654605118846023,0.16121978963184022,0.17345736707127135,0.18347799343274457,0.14654605118846023,0.14544121692925985,0.13434138010994828,0.18347799343274457,0.8165220065672554,0.18347799343274457,0.8165220065672554
DNN,AutoPGD,0.01,0.8878574374182906,0.8675243729481931,0.9095892238249522,0.9097946420514293,0.8878574374182906,0.8791846717044027,0.8908779660850182,0.9097946420514293,0.09020535794857062,0.9097946420514293,0.09020535794857062
DNN,AutoPGD,0.1,0.8400909003167473,0.8254916880194091,0.8791916942280849,0.8707308557874169,0.8400909003167473,0.8311817494191623,0.8451913228514621,0.8707308557874169,0.12926914421258312,0.8707308557874169,0.12926914421258312
DNN,AutoPGD,0.2,0.7709417307911661,0.767026781780451,0.830111856426304,0.8069477524737705,0.7709417307911661,0.7621906913297996,0.7786700878290873,0.8069477524737705,0.19305224752622943,0.8069477524737705,0.19305224752622943
DNN,AutoPGD,0.3,0.6940011055443929,0.7123571291761739,0.7846417632215162,0.7421724314314813,0.6940011055443929,0.6883418527584984,0.7035129099565749,0.7421724314314813,0.2578275685685188,0.7421724314314813,0.2578275685685188
DNN,HopSkipJump,0,0.6940011055443929,0.7123571291761739,0.7846417632215162,0.7421724314314813,0.6940011055443929,0.6883418527584984,0.7035129099565749,0.7421724314314813,0.2578275685685188,0.7421724314314813,0.2578275685685188
DNN,ZOO,0,0.8879013082275315,0.8675876339562353,0.9096927682976509,0.9099143572616424,0.8879013082275315,0.8792435534133907,0.8909238766251413,0.9099143572616424,0.09008564273835766,0.9099143572616424,0.09008564273835766
DNN,ZOO,0.01,0.8879451790367725,0.867622445299802,0.9096997533553621,0.9099247141328589,0.8879451790367725,0.8792840900491071,0.8909647011180002,0.9099247141328589,0.09007528586714107,0.9099247141328589,0.09007528586714107
DNN,ZOO,0.1,0.887874985741987,0.8675614372155693,0.9096705508745564,0.9098877295822997,0.887874985741987,0.8792158093131235,0.8908984332727754,0.9098877295822997,0.09011227041770029,0.9098877295822997,0.09011227041770029
DNN,ZOO,0.2,0.8879013082275315,0.8675876339562353,0.9096927682976509,0.9099143572616424,0.8879013082275315,0.8792435534133907,0.8909238766251413,0.9099143572616424,0.09008564273835766,0.9099143572616424,0.09008564273835766
DNN,ZOO,0.3,0.8877345991524159,0.8674185569780795,0.9095413233758035,0.9097335643659172,0.8877345991524159,0.8790658051346738,0.8907621713437732,0.9097335643659172,0.0902664356340827,0.9097335643659172,0.0902664356340827
DNN,HopSkipJump,0,0.7683796755314949,0.7533731277157897,0.8098324697719348,0.7887128888373232,0.7683796755314949,0.7556049209593958,0.775789494029507,0.7887128888373232,0.2112871111626768,0.7887128888373232,0.2112871111626768
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
