model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9201463530196278,0.9127243422750431,0.9195688176780064,0.9018300906819007,0.9201463530196278,0.9069588385446414,0.9196124965676131,0.9018300906819007,0.09816990931809935,0.9018300906819007,0.09816990931809935
DNN,BIM,0.01,0.885698993603636,0.8764279698424784,0.884375857802304,0.8560523607865237,0.885698993603636,0.865032249714702,0.8841109194454364,0.8560523607865237,0.1439476392134763,0.8560523607865237,0.1439476392134763
DNN,BIM,0.1,0.553632064297058,0.528459232667108,0.5922410439192879,0.5320650896782119,0.553632064297058,0.5233878150497792,0.5667589744283832,0.5320650896782119,0.46793491032178813,0.5320650896782119,0.46793491032178813
DNN,BIM,0.2,0.052039553921611637,0.0689327563864563,0.09087798210444194,0.04257466431674577,0.052039553921611637,0.05039773051243695,0.06466139617589574,0.04257466431674577,0.9574253356832543,0.04257466431674577,0.9574253356832543
DNN,BIM,0.3,0.00830035710838722,0.012665345686285011,0.017240588048377477,0.006097639581802478,0.00830035710838722,0.00823202833349287,0.011205774624375943,0.006097639581802478,0.9939023604181976,0.006097639581802478,0.9939023604181976
DNN,FGSM,0.01,0.8859095734879926,0.8766431764010885,0.8845917322371809,0.8563455783365286,0.8859095734879926,0.8652961934129446,0.8843315754125364,0.8563455783365286,0.14365442166347145,0.8563455783365286,0.14365442166347145
DNN,FGSM,0.1,0.6193242140544525,0.5847806767914212,0.6435222394140415,0.5931044485512811,0.6193242140544525,0.5851962511329548,0.6281769602406903,0.5931044485512811,0.40689555144871886,0.5931044485512811,0.40689555144871886
DNN,FGSM,0.2,0.2963385422607505,0.2661546967066202,0.3433361826583686,0.23642677353650204,0.2963385422607505,0.24892303134571608,0.31709400494129103,0.23642677353650204,0.763573226463498,0.23642677353650204,0.763573226463498
DNN,FGSM,0.3,0.21765185880618754,0.20424400118869393,0.27663939869293397,0.1613795011758813,0.21765185880618754,0.18007741274424438,0.24348332793468055,0.1613795011758813,0.8386204988241187,0.1613795011758813,0.8386204988241187
DNN,PGD,0.01,0.8856902194417878,0.8764260475228933,0.8843670694061105,0.8560313339668544,0.8856902194417878,0.8650186055274477,0.8841004874688234,0.8560313339668544,0.14396866603314568,0.8560313339668544,0.14396866603314568
DNN,PGD,0.1,0.553491677707487,0.5284457316446548,0.5922358117778355,0.5320567355804913,0.553491677707487,0.5233323428645397,0.566645094881387,0.5320567355804913,0.46794326441950873,0.5320567355804913,0.46794326441950873
DNN,PGD,0.2,0.05186407068464785,0.06874256607202611,0.09066868646434464,0.042372844601351385,0.05186407068464785,0.05022194334666731,0.06448824945175206,0.042372844601351385,0.9576271553986486,0.042372844601351385,0.9576271553986486
DNN,PGD,0.3,0.00830035710838722,0.012659160076607872,0.017227453664282244,0.0061049301377355675,0.00830035710838722,0.00823231696448146,0.011199775401710412,0.0061049301377355675,0.9938950698622644,0.0061049301377355675,0.9938950698622644
DNN,DF,0.01,0.08678523484044187,0.09766317130480956,0.1080791427022206,0.10313807903174418,0.08678523484044187,0.08672662728150726,0.08408376659268232,0.10313807903174418,0.8968619209682558,0.10313807903174418,0.8968619209682558
DNN,DF,0.1,0.10215756639846979,0.11921714490296186,0.1371230698642988,0.1139424918553878,0.10215756639846979,0.10209212256294345,0.10486127790976259,0.1139424918553878,0.8860575081446123,0.1139424918553878,0.8860575081446123
DNN,DF,0.2,0.11716138315887376,0.13832807052894547,0.16286983981879377,0.12442515105976645,0.11716138315887376,0.11661632808263811,0.1245430191966253,0.12442515105976645,0.8755748489402335,0.12442515105976645,0.8755748489402335
DNN,DF,0.3,0.12698844442884594,0.14993891034028295,0.17857465395454408,0.13114858599587106,0.12698844442884594,0.12586435882509245,0.1371880016907971,0.13114858599587106,0.8688514140041289,0.13114858599587106,0.8688514140041289
DNN,AutoPGD,0.01,0.8873222135455511,0.8783809905538023,0.8860483811891419,0.8579447100996874,0.8873222135455511,0.8669565145761657,0.8857602236714666,0.8579447100996874,0.14205528990031252,0.8579447100996874,0.14205528990031252
DNN,AutoPGD,0.1,0.502180379219275,0.4948167574264562,0.5601405395493059,0.4940487424424076,0.502180379219275,0.4812253364054111,0.5188897067751654,0.4940487424424076,0.5059512575575924,0.4940487424424076,0.5059512575575924
DNN,AutoPGD,0.2,0.021689728088724325,0.029862228622044955,0.03876002101811381,0.018828140394882478,0.021689728088724325,0.02147761573650064,0.026681952836263043,0.018828140394882478,0.9811718596051175,0.018828140394882478,0.9811718596051175
